date,amount,category,description,clean_description,is_fraud
2025-02-02 15:31:58,0.44,Food,Issue law fear fine economic smile.,Allow always this.,0
2023-08-17 11:26:05,66.76,Food,Trade type training hand effect.,Finally focus own.,0
2024-07-21 13:51:04,99.78,Shopping,Glass strategy woman whether bank weight.,Mind mission.,0
2024-09-08 07:12:18,77.1,Food,Will structure sport growth.,Many analysis begin.,0
2020-04-19 12:21:34,70.28,Transport,Opportunity ago wish partner behind.,Some beautiful read.,0
2023-02-09 08:29:59,36.83,Transport,Spring already whole turn free.,Capital now get.,0
2020-12-18 09:19:16,88.76,Transport,Agent heavy time maintain discussion.,Often peace speak.,0
2020-07-31 07:19:00,23.62,Shopping,Red camera letter off rich. Indicate physical or.,Contain music fire.,0
2025-01-28 18:01:16,31.75,Food,Building right security all.,Situation there.,1
2024-07-04 09:18:35,67.23,Transport,Happy talk across per too loss.,Network.,0
2021-06-17 10:01:05,63.68,Entertainment,Treatment ever into possible coach.,Picture list notice.,0
2021-11-01 14:22:30,53.24,Entertainment,Movement us glass model commercial.,Issue management.,0
2021-03-28 14:39:38,14.13,Shopping,Would team back sure.,Stock allow nice.,0
2023-08-12 03:27:33,74.19,Entertainment,Data wait brother worry.,Perhaps.,0
2020-09-08 11:49:17,39.4,Food,Foot treatment eat per language something better.,Within interesting.,0
2023-03-16 18:30:22,91.26,Bills,Enter describe rule return indeed consumer house.,Seem specific task.,0
2025-01-01 13:40:06,25.41,Transport,Them best city attorney production hold even.,That somebody.,0
2021-12-25 22:51:24,10.4,Shopping,Wait popular should several final.,Benefit purpose.,1
2022-06-09 15:55:00,35.16,Transport,Season any their. Current region area.,Three direction.,0
2025-03-20 21:04:51,0.99,Transport,Exactly authority go statement.,Member plant.,0
2021-06-05 14:44:53,27.21,Food,Into benefit human involve hour.,Writer small down.,0
2020-09-29 05:59:20,36.58,Food,Fill avoid close discussion. Before red theory.,Mention small read.,1
2022-03-20 03:56:10,55.23,Shopping,Scientist bank generation might certain our.,Continue west.,0
2025-02-24 14:21:47,77.33,Entertainment,Do name race set culture. Room become miss huge.,Interesting bank.,0
2022-05-05 21:20:04,67.79,Entertainment,Between live decide doctor drop girl.,Challenge already.,0
2022-08-22 02:11:33,64.05,Entertainment,Seem system interest.,Security recently.,0
2023-05-26 10:27:41,20.54,Food,Traditional moment leader lay.,Fast together.,0
2022-07-26 10:20:04,95.51,Entertainment,Discover yet property arrive view down.,Firm put news.,0
2022-03-24 15:39:02,54.51,Entertainment,Serious generation military option.,May knowledge wind.,0
2022-05-20 18:59:36,65.89,Bills,Whole picture food radio.,Final.,0
2020-12-15 07:49:40,67.83,Shopping,What figure value unit send consumer.,Threat could.,0
2020-01-30 03:36:47,22.95,Shopping,Final town safe accept avoid economy bill TV.,Tough serious.,0
2024-10-06 00:44:25,39.44,Shopping,Paper music people moment natural current home.,World foreign.,0
2022-01-15 23:02:30,83.95,Shopping,Mrs listen discussion enjoy push state turn.,Development large.,0
2020-11-25 13:31:20,47.98,Entertainment,Almost model visit art.,Morning ever head.,0
2020-01-29 05:53:34,5.33,Transport,Art anyone natural message star run blue.,Opportunity now.,1
2023-03-05 06:54:21,58.42,Food,Look hear almost or economy very list.,Offer PM race.,0
2024-09-15 11:10:37,97.62,Food,Character his energy happen usually later.,Human page base arm.,0
2024-07-25 20:43:46,69.48,Food,International around poor base such.,Often decade.,0
2024-07-10 14:59:37,14.46,Entertainment,Important break media history certain daughter.,Soldier drive.,0
2022-09-29 07:56:26,96.41,Food,Give under worry couple particularly month.,Enter worry speak.,0
2022-05-01 18:49:21,82.5,Food,Necessary sea claim.,Face ability seek.,0
2020-10-19 12:03:14,71.82,Food,Mr family four place.,Themselves news.,0
2020-09-19 07:16:27,24.17,Transport,Effect mouth book front mission same language.,Dinner ahead region.,0
2021-02-27 11:53:03,9.23,Entertainment,Against treatment no watch color blue.,Bill decide modern.,0
2024-11-25 14:44:00,90.54,Shopping,Eye require improve policy true them subject.,Include he color.,0
2023-07-13 06:25:32,96.04,Bills,House well address store direction fear.,Ready service three.,0
2023-08-19 10:46:36,77.14,Food,Color yourself though get new hard card trial.,Example.,0
2024-09-29 11:16:09,49.81,Transport,Book true brother ball.,Or yard stuff lot.,0
2025-02-01 11:49:46,83.48,Bills,Small begin base option.,Well already style.,0
2024-09-14 10:33:09,92.23,Entertainment,Citizen call yes car modern.,Perhaps where power.,0
2023-06-13 19:24:48,41.89,Bills,Painting probably study throughout look during.,Try explain score.,0
2024-08-28 12:42:28,68.03,Shopping,Find cell in officer character rate every.,Political begin.,0
2021-08-11 08:34:27,84.21,Bills,Analysis west rule project ahead.,Sort long teach set.,0
2020-10-07 13:59:29,39.44,Bills,Century first law next main total discussion.,Week type.,0
2021-09-23 13:09:32,6.15,Food,Evening lot service nice soldier Republican.,Likely so.,0
2023-11-23 01:46:05,79.64,Food,Magazine check sister agent month happy entire.,Chair herself claim.,0
2024-06-06 03:22:22,13.12,Transport,Fear crime buy if concern difference.,Under himself free.,0
2024-03-13 19:08:33,92.32,Food,Save shoulder ago sit.,Parent weight rule.,0
2023-11-02 14:04:17,9.36,Bills,Five amount table talk him.,Much especially.,0
2022-03-07 03:36:25,8.35,Transport,Eat head sound production education you result.,Doctor investment.,0
2021-02-08 18:48:07,35.05,Food,Dream include her money interest character.,Newspaper.,0
2024-09-07 05:47:34,66.79,Shopping,Marriage time various mention.,South available.,0
2024-08-10 12:20:01,7.97,Shopping,Heavy occur add free enjoy develop.,Protect finish sign.,0
2024-09-25 00:20:34,97.36,Bills,Deep feeling mind without music bag when from.,Majority writer.,0
2021-01-04 23:59:53,14.5,Shopping,High prepare partner woman.,Painting another.,0
2020-12-09 15:45:27,85.55,Food,Available wall north house.,Enough cut animal.,0
2024-02-06 17:01:09,15.93,Entertainment,Argue good myself smile civil.,House commercial.,0
2020-10-15 02:49:05,91.02,Bills,Conference they activity boy wonder.,Quite where though.,0
2020-04-21 09:07:26,74.82,Shopping,I thing concern activity produce amount.,Rule our as impact.,0
2023-09-03 15:20:48,7.5,Bills,The trade lot production.,Example among.,0
2021-08-16 11:54:41,39.44,Transport,Particular have ball Congress head current.,Husband region.,0
2024-11-01 07:24:00,62.95,Food,Still raise friend property value left we kind.,Outside head.,1
2021-03-20 01:40:46,77.9,Food,Short decide we before should.,Hospital Republican.,0
2023-01-04 07:31:31,73.91,Entertainment,Kind pressure floor.,Ok movie turn away.,0
2022-01-03 09:11:04,91.86,Food,Claim cause food total.,Total sometimes.,0
2023-07-21 10:03:11,42.31,Shopping,Dream smile tax. East truth law.,East seven there.,0
2020-10-19 10:41:06,35.41,Shopping,Current air many significant choice very.,Result happy act.,0
2022-10-22 22:29:29,35.29,Transport,Value rather eat goal professional investment.,Trade stay own how.,1
2024-02-03 03:35:41,18.65,Shopping,Few food part strong institution various enough.,Hand standard.,0
2022-08-21 02:39:55,82.48,Food,Management act hour. Too yes tax.,Room happen because.,0
2021-09-22 05:57:34,6.94,Food,Eat degree staff. Ask expert debate tonight.,Employee entire go.,0
2020-03-21 02:50:35,49.47,Bills,Mind reduce performance population truth.,Short need cultural.,0
2020-06-19 10:32:11,83.61,Bills,Cut peace into body from.,Energy free nature.,0
2021-09-24 17:57:43,50.66,Transport,Job weight class fill again may I.,Back any daughter.,0
2024-08-10 22:54:21,42.21,Shopping,Election hear card pattern have blood throw.,People box again.,0
2020-10-30 15:20:31,45.92,Food,Actually whom doctor effect.,Perhaps director.,0
2023-09-03 08:01:42,23.04,Bills,Right wish figure nature move.,Direction decade.,0
2024-10-22 22:19:52,85.18,Entertainment,Control sort investment feeling attack popular.,Her when during.,0
2020-09-14 12:29:40,8.44,Entertainment,Animal much study ten.,But why plan.,0
2024-08-15 18:05:25,97.59,Shopping,Strategy effort east seem.,Only would often.,0
2020-12-31 16:37:40,89.53,Entertainment,Brother because sport financial rather threat.,Ball when any than.,0
2021-07-14 18:17:25,21.61,Food,Significant here those cause a level recently.,Radio employee.,0
2024-05-23 21:49:54,90.37,Bills,Kitchen because whole institution surface.,Over woman bag.,0
2020-05-04 11:28:26,34.19,Bills,Remain speech power rich force.,Next fear fast.,0
2022-04-03 08:39:30,71.47,Shopping,Knowledge almost agreement security.,Decide prepare.,0
2020-06-16 06:55:10,44.66,Entertainment,Forward year light officer accept.,Chair put foot look.,0
2025-02-01 23:26:15,46.43,Shopping,Me game none. Nice bag day might.,Week audience.,0
2023-02-19 23:18:14,79.91,Entertainment,School movie down.,Family agree.,0
2020-09-18 17:50:32,25.39,Transport,Speech rate court describe. Tree give various.,Town official.,0
2023-09-10 10:48:18,48.22,Food,Quality must through spring government reach.,School little.,1
2024-11-02 08:52:22,35.08,Shopping,Mr according play tax. However rich party piece.,Officer eat suffer.,0
2020-04-10 09:09:26,76.32,Bills,Parent answer visit too think particular.,Order along poor.,0
2022-08-01 03:05:18,48.03,Transport,Dark discover education religious personal us.,Draw may together.,0
2023-08-01 09:35:32,59.27,Shopping,Far church sound list collection.,List deal officer.,0
2022-02-05 22:33:25,7.81,Transport,Enough fly administration senior short.,Nice music phone.,0
2024-02-03 19:58:28,79.37,Shopping,Mr simple consumer turn parent individual hear.,Many price.,0
2021-12-15 22:44:12,15.72,Food,Teach white suddenly billion voice step.,Week impact yes.,0
2022-10-15 14:12:42,87.89,Entertainment,Democratic president assume two old.,Whom painting.,0
2023-01-06 10:44:24,21.31,Food,Resource bag guess worker term. Man here free.,Management job when.,0
2020-08-25 10:09:19,84.47,Food,Walk language growth.,Employee collection.,0
2023-11-09 03:17:18,38.52,Bills,Region mean take machine resource person.,Blood indicate yard.,0
2024-10-16 18:25:15,33.3,Transport,You name particularly necessary war win often.,Allow president.,0
2021-10-13 21:08:34,85.82,Bills,Discover along door quickly produce.,Capital house as.,0
2023-10-13 20:15:23,58.52,Bills,City race remember control upon system.,Hard drug order hot.,0
2020-06-16 21:44:00,14.03,Transport,Body animal run body effort fly.,General provide.,0
2021-12-04 20:58:50,90.37,Entertainment,Reality occur particularly car.,Nice girl see sit.,0
2020-12-12 22:05:25,8.9,Shopping,Remain heavy star hit way believe woman.,Public bill family.,0
2025-01-10 10:55:16,34.73,Food,Put treatment this activity.,Field trial chair.,0
2023-06-21 04:39:48,84.33,Shopping,Kind strong pressure to rate.,With road billion.,0
2021-06-27 04:42:26,73.91,Transport,Continue bank last response itself.,West system sound.,0
2022-04-12 21:49:09,84.65,Transport,Sit risk since thank discussion remain.,Record section.,0
2024-09-25 14:32:29,44.54,Bills,Couple officer senior couple market.,Win speech return.,0
2024-05-05 03:32:25,15.12,Food,Institution spend main require claim.,Sound notice fish.,0
2022-10-15 19:53:12,61.14,Shopping,Analysis account career.,Series character.,0
2020-01-31 06:39:30,99.02,Bills,This let firm executive trade.,Safe cultural.,0
2023-11-11 14:16:17,14.51,Food,Drop mean front security. Usually crime live.,Guy grow account.,0
2020-01-27 20:03:10,62.87,Food,Beyond worker for mention third play.,Company probably.,0
2024-07-04 03:57:37,62.63,Shopping,Goal current professor business put heart throw.,Record will prepare.,0
2020-01-12 12:22:30,25.82,Food,Expert let party particular it until car.,Democrat approach.,0
2021-12-10 17:51:29,17.3,Bills,Operation green lay others situation next.,Blue unit top.,0
2023-12-20 20:50:34,4.27,Transport,Product prepare subject walk role one effect.,Treatment few beat.,0
2020-12-06 12:23:25,89.1,Transport,Administration those teach base.,Cover business.,0
2020-10-14 21:55:39,64.66,Entertainment,Lay price interesting sea chance.,Direction former.,0
2021-07-29 18:59:58,9.21,Transport,Fund career place than eye ahead whom.,People knowledge.,0
2020-06-26 02:41:35,21.72,Transport,Old meeting manage beyond this play.,Wish three party.,0
2024-06-27 14:34:34,86.45,Entertainment,Range American friend second live two.,Eat ten career.,0
2022-11-25 04:09:28,62.88,Entertainment,Just pressure set blue.,Likely performance.,0
2020-05-04 14:01:14,30.32,Food,Choose drop sound billion.,Everyone role sign.,0
2020-12-12 02:43:50,49.3,Entertainment,Thousand street answer.,Much save.,0
2020-06-07 00:20:25,46.57,Transport,Station certain factor beyond.,Provide last ask.,0
2022-05-15 05:00:07,9.08,Bills,Direction high partner pass network.,Cold form short.,0
2023-09-15 00:10:29,85.4,Food,Field well item many owner.,Last push very form.,0
2020-10-31 02:06:34,87.84,Entertainment,Born five sea whatever.,Their focus those.,0
2023-03-20 08:22:07,81.01,Shopping,Place among half ready free old.,Everybody from miss.,0
2024-02-08 09:26:14,20.85,Transport,Sound trial according determine risk paper.,Public book east.,0
2023-07-24 12:31:18,83.89,Bills,Usually effort recently reason ago middle.,Item time leader.,0
2023-05-28 18:19:00,29.68,Transport,Forget support political firm happy.,Bill best laugh.,0
2024-05-07 13:26:14,13.44,Bills,Resource her figure public.,See east newspaper.,1
2023-06-09 20:38:28,66.49,Food,Name challenge brother player.,Possible black live.,0
2021-06-17 21:37:21,22.65,Transport,None send weight week.,Defense TV total.,0
2023-07-12 15:21:36,49.95,Entertainment,Me wall coach concern.,Also hard scientist.,0
2020-01-14 13:01:10,29.14,Bills,Election attack discover collection ask.,Radio measure.,0
2022-09-05 15:38:15,38.53,Shopping,Service stage organization move group do.,We along professor.,0
2022-11-29 06:07:30,87.5,Entertainment,Opportunity huge use without rate available.,Until get task.,0
2023-06-29 13:42:40,96.97,Entertainment,Artist serious key store argue red affect.,Back significant.,0
2020-09-18 16:37:09,80.52,Entertainment,Process concern democratic answer plan.,Court yet down a.,0
2020-05-08 22:29:22,42.03,Bills,They skin arrive finish consider truth goal.,Have section walk.,0
2020-09-03 06:16:01,10.32,Shopping,Live war fall different success.,Official page.,0
2023-02-08 08:44:47,21.98,Shopping,Pick let light hotel.,Quality music exist.,0
2024-05-07 08:09:42,83.7,Shopping,Fight author law style cold.,Concern detail gas.,0
2025-03-27 08:34:48,16.06,Food,After beautiful town specific air church.,Consumer draw.,0
2023-07-03 20:03:00,35.06,Transport,Various language evening power.,Know government.,0
2020-08-02 16:09:21,91.06,Entertainment,Simple million worker yes right.,Fast affect us.,0
2023-05-28 18:00:41,67.9,Shopping,Section hour for likely.,Factor teacher.,0
2020-12-03 17:21:51,22.9,Entertainment,Nothing seem direction resource.,News oil top place.,0
2020-09-29 12:28:00,11.09,Bills,Statement generation above prepare pass half PM.,Road decide explain.,0
2020-08-24 14:56:41,45.42,Bills,Company eat run war next report put.,Over drive I notice.,0
2022-06-13 14:20:27,21.71,Shopping,Able war respond trip all sort.,Him friend page.,0
2024-12-16 07:34:07,82.82,Transport,Beautiful travel food throw behind north future.,Base add serious.,0
2021-10-13 19:20:23,19.67,Bills,Suffer in place south likely. Share sort mention.,Say until another.,0
2024-12-09 10:40:31,89.52,Shopping,Woman feel discuss mention.,Still woman notice.,0
2023-01-04 01:18:11,57.26,Transport,Her control bill still.,Notice age recent.,0
2024-01-27 08:48:32,91.98,Food,Such politics difficult on within form.,Deep return person.,0
2024-01-12 14:56:10,39.44,Entertainment,Woman science ball forget my month.,Meet bar necessary.,0
2024-10-04 05:24:21,8.21,Entertainment,College art even pay light.,Time deep money.,0
2021-04-19 08:28:14,71.71,Shopping,Land south decision.,Within energy no.,0
2021-10-05 13:45:13,7.38,Shopping,Increase grow soon treatment style.,Must kitchen wide.,0
2023-08-20 07:21:36,25.29,Entertainment,Tax analysis gun end trip.,Rather rise usually.,0
2025-01-03 01:11:01,9.58,Transport,Staff production idea reveal.,Resource number.,0
2022-12-20 05:59:07,24.73,Entertainment,Their clearly evidence stay enjoy father similar.,Glass represent eye.,0
2021-05-29 11:00:08,3.24,Food,Anyone director bar body store item southern.,Gun store which.,0
2024-11-04 22:50:01,98.07,Bills,Operation pull fly.,Themselves people.,0
2024-04-03 03:59:42,69.59,Food,Woman beat mouth if move lose.,Site guy chair.,1
2020-11-11 06:34:16,10.14,Shopping,Third enjoy seven each institution keep everyone.,Administration blue.,0
2023-09-05 06:44:06,56.47,Transport,Bank theory officer total.,Middle ball at race.,0
2021-12-31 07:07:09,72.58,Food,Decision up success information beat.,Public benefit yes.,1
2022-12-29 01:12:11,77.35,Food,Paper success issue administration human.,Street institution.,0
2021-09-27 22:51:02,92.49,Bills,Current force question a but reflect back.,Edge work foreign.,0
2022-12-19 08:00:25,94.05,Food,Research research general need.,Occur position.,0
2025-03-25 20:13:12,69.85,Bills,Authority minute report tough development.,Hour wind choose.,0
2022-05-15 04:19:15,21.61,Food,Record staff night free.,Road three animal.,0
2025-03-04 02:56:07,11.33,Transport,Physical during power effect born nation.,Interest second.,0
2022-11-22 00:25:13,41.27,Food,Special let foot market.,When instead young.,0
2023-01-05 01:50:12,38.43,Shopping,Car sea main. Knowledge conference born each.,Song bill course.,0
2025-03-17 02:29:21,20.03,Entertainment,Today draw artist stock store suggest cover.,We near spring grow.,0
2024-04-16 20:36:58,21.71,Food,Growth approach too cultural day.,Collection.,0
2020-02-29 17:13:14,62.53,Entertainment,Material there size claim. Human food they.,Performance.,0
2020-10-06 16:25:34,96.36,Bills,Option player strong identify consumer.,Outside last often.,0
2023-12-25 20:29:23,52.14,Entertainment,Near thank Congress bill training before stop.,Agree seven be add.,0
2021-04-10 12:55:27,46.58,Shopping,Peace off however price skill police.,Feeling could meet.,0
2022-04-09 10:59:27,90.69,Entertainment,Get term dinner.,Deep change process.,0
2024-09-18 09:25:15,82.34,Transport,Clearly soon rate place.,Answer pattern.,0
2021-06-24 11:46:52,95.16,Shopping,Wait outside market put stage member part.,Option vote far.,0
2023-03-10 10:28:38,69.16,Transport,Hotel claim accept purpose improve.,Evidence east.,1
2024-03-19 07:28:46,3.2,Entertainment,Hear agree total develop member.,Little join fly.,0
2023-09-09 00:03:30,27.93,Transport,Growth recently myself arm for.,How wall race could.,0
2024-01-06 13:17:41,32.39,Food,Operation economy road sport cause show.,Assume across.,0
2023-10-26 06:48:24,50.08,Food,Military town pretty doctor.,Change policy bit.,0
2024-03-08 07:29:42,86.65,Bills,Letter determine through only hotel somebody.,Enough whom as.,0
2020-11-22 07:58:50,50.84,Bills,Though doctor rise throughout.,Put she go eye lead.,0
2022-09-30 12:09:48,87.34,Food,Individual during story history.,Expect especially.,0
2024-06-26 13:43:12,56.33,Transport,Defense my mean well.,Station upon hit.,0
2024-09-03 06:46:19,66.08,Bills,How class event major.,Score agency.,0
2022-04-01 19:30:51,37.2,Bills,Investment top account music.,Crime eat blue.,0
2021-12-30 02:51:42,2.46,Transport,Take rock eight candidate age subject money.,Cut start age.,1
2024-02-09 22:08:24,87.17,Food,Increase choose record game yard fly nice energy.,Herself compare.,0
2024-08-08 11:33:09,98.65,Transport,Step than lose morning control point.,Nice difference.,0
2023-01-06 01:59:56,17.84,Shopping,Center such question peace kid experience.,Democratic yard.,0
2020-10-24 01:18:45,51.04,Shopping,Radio move recent law.,Around civil he.,1
2023-09-02 02:38:47,30.42,Food,That visit similar else thing.,Teach treatment.,0
2020-11-29 08:44:56,54.99,Shopping,Live spend event. Produce military dog situation.,Significant change.,1
2025-04-12 14:46:02,66.54,Entertainment,Decide heavy me fly Republican wall grow.,Thought take hit.,0
2021-04-16 12:40:18,26.04,Transport,Hit character eight church ahead.,West energy role.,0
2020-05-06 16:31:47,34.45,Food,Mrs smile wind produce possible hot.,Throughout foreign.,0
2024-04-23 04:33:01,3.28,Bills,Team about call while.,Like near explain.,1
2020-10-25 11:19:08,37.88,Shopping,So early itself discussion central.,Away various meet.,0
2022-07-15 19:03:39,36.25,Transport,Contain foot total.,While somebody low.,0
2021-08-17 21:07:17,95.5,Entertainment,Area glass sort indeed result within it mind.,Evidence note first.,1
2020-06-13 06:59:53,13.65,Entertainment,Month ever experience.,Mr take suddenly.,0
2022-10-18 09:33:46,79.21,Bills,Attack price record help.,Whose though trade.,0
2023-05-29 01:11:03,8.83,Shopping,Scene night total address too five role herself.,Positive couple.,0
2022-11-06 21:17:55,26.78,Food,Rock or within guy after community.,Maintain I force.,0
2021-10-26 02:34:28,50.56,Transport,Success program nice use catch.,Long the speak.,0
2024-04-16 13:42:31,73.3,Entertainment,Around finally main image.,Voice wish sea.,0
2020-07-31 04:47:18,21.3,Shopping,Onto project leg player range mouth gas.,Should lawyer.,0
2023-02-07 10:01:46,89.08,Food,Certainly choice go possible people.,Card receive soon.,0
2022-02-28 01:07:20,93.91,Entertainment,So relate road past contain.,Every doctor.,1
2023-03-09 17:09:57,28.58,Transport,Quickly food career hair.,Human husband fast.,0
2025-03-25 02:45:21,67.88,Food,Son here window.,Lose send through.,0
2020-04-03 06:49:58,56.85,Transport,Vote leader outside natural anything.,Figure write choose.,0
2024-03-11 15:34:27,60.46,Transport,Protect scene both reach often war.,Oil nearly story.,0
2025-04-10 00:35:56,69.15,Food,Friend any language exist.,Interest enjoy.,0
2024-03-28 02:25:06,62.83,Entertainment,Data success we part parent.,Capital energy new.,0
2021-02-23 10:31:58,50.95,Entertainment,Owner age step.,Culture certain.,0
2022-09-23 00:27:50,0.43,Bills,Him institution us community box.,Only act budget the.,0
2022-09-02 10:14:56,40.23,Transport,Study standard defense stay draw set involve.,Build impact recent.,0
2024-04-11 04:56:29,6.75,Transport,Bad dog hotel power. Keep whole agent year.,Follow beautiful.,0
2021-01-05 18:13:44,3.88,Shopping,Reason matter half instead.,Identify student PM.,0
